IBDate,IBOpen,IBHigh,IBLow,IBClose,YEDate,YEOpen,YEHigh,YELow,YEClose,INDate,INOpen,INHigh,INLow,INClose,GADate,GAOpen,GAHigh,GALow,GAClose,HDDate,HDOpen,HDHigh,HDLow,HDClose
22-05-2019,802.00,808.15,774.80,734.22,22-05-2019,141.00,141.25,135.50,133.87,22-05-2019,1446.95,1536.85,1382.30,1510.91,22-05-2019,169.35,170.88,167.10,158.49,22-05-2019,61.50,61.67,61.22,60.93
23-05-2019,809.00,834.40,775.25,733.28,23-05-2019,143.90,150.80,138.75,136.01,23-05-2019,1547.00,1640.00,1543.15,1590.34,23-05-2019,171.00,171.32,168.45,158.99,23-05-2019,59.85,59.99,59.50,59.29
24-05-2019,792.00,798.90,774.20,743.16,24-05-2019,141.00,142.90,139.50,137.43,24-05-2019,1608.70,1658.00,1594.00,1640.23,24-05-2019,169.00,171.30,167.57,160.73,24-05-2019,60.45,61.65,60.42,60.93
27-05-2019,790.00,808.70,784.70,741.10,27-05-2019,142.00,148.45,140.85,142.88,27-05-2019,1647.90,1647.90,1607.00,1604.32,27-05-2019,171.50,175.50,170.88,163.88,28-05-2019,61.37,62.14,61.37,61.58
28-05-2019,799.50,799.70,780.00,734.13,28-05-2019,148.95,154.90,148.20,148.72,28-05-2019,1615.00,1632.00,1596.70,1611.13,28-05-2019,176.95,177.35,172.75,164.07,29-05-2019,61.78,61.90,61.22,61.21
29-05-2019,784.00,787.40,763.70,727.90,29-05-2019,154.00,156.00,150.65,147.64,29-05-2019,1617.00,1629.35,1602.05,1600.19,29-05-2019,175.00,181.05,174.73,166.42,30-05-2019,62.10,62.36,61.82,61.55
30-05-2019,780.00,793.05,771.35,724.39,30-05-2019,150.20,156.50,149.90,150.86,30-05-2019,1608.60,1621.60,1580.55,1578.56,30-05-2019,177.93,180.25,176.68,169.01,31-05-2019,61.50,62.10,61.37,61.65
31-05-2019,779.50,800.50,775.25,736.09,31-05-2019,156.60,157.00,147.00,143.85,31-05-2019,1599.00,1610.95,1555.05,1596.91,31-05-2019,180.00,181.55,178.23,169.83,03-06-2019,62.50,63.65,62.50,62.58
03-06-2019,788.85,817.80,776.50,758.83,03-06-2019,148.00,149.90,144.50,147.45,03-06-2019,1600.10,1667.00,1589.70,1653.91,03-06-2019,181.45,182.70,178.30,168.16,04-06-2019,63.30,63.63,62.26,63.19
04-06-2019,814.35,819.90,791.75,745.36,04-06-2019,148.80,153.85,148.55,152.80,04-06-2019,1663.00,1672.95,1630.00,1629.39,04-06-2019,178.00,180.18,177.55,168.54,05-06-2019,63.87,64.40,63.40,63.57
06-06-2019,773.95,773.95,728.55,688.60,06-06-2019,148.45,151.20,142.30,143.40,06-06-2019,1634.70,1634.70,1510.00,1514.64,06-06-2019,167.50,169.32,157.13,148.80,06-06-2019,63.50,63.94,62.94,63.43
07-06-2019,737.55,768.00,712.35,684.20,07-06-2019,143.40,145.45,136.15,139.90,07-06-2019,1530.00,1560.00,1482.05,1544.04,07-06-2019,158.55,160.45,153.85,147.65,07-06-2019,64.13,64.60,63.65,63.93
10-06-2019,748.00,755.00,723.50,686.30,10-06-2019,141.90,145.00,132.55,135.90,10-06-2019,1564.00,1585.10,1536.15,1543.49,10-06-2019,159.50,160.00,153.23,144.54,10-06-2019,64.50,64.80,64.06,63.87
